qtr,ticker,CFO,CFO_size,ACCRUAL,dMARGIN,intercept,pred_beats_mkt
2017_1,CHTR,0.25013287392555394,0.25013287392555394,0.5647855042213767,0.872047527521699,1,0.6333536391783567
2017_1,MRO,0.20721001411212728,0.19802796767039937,0.5645512586030825,0.890342766311114,1,0.551303137588672
2017_1,WMB,0.21135201510180893,0.21135201510180893,0.6877930118971831,0.8672803229485576,1,0.5301879021598558
2017_1,PEG,0.21996591096530618,0.21996591096530618,0.6832538594748432,0.870799316058813,1,0.526192847084453
2017_1,WHR,0.19005553213716256,0.19802796767039937,0.7193011080345848,0.871205654147725,1,0.5256060893611214
2017_1,AVGO,0.22282499129446698,0.22282499129446698,0.6878103715123862,0.8694437140504302,1,0.5251650418220853
2017_1,SBAC,0.20173810091087369,0.19802796767039937,0.6661800105313229,0.8717697573437319,1,0.5234302800052799
2017_1,CCL,0.21510913989333433,0.21510913989333433,0.68503455170845,0.8714825053867574,1,0.5227766330761171
2017_1,FANG,0.20249229331231788,0.19802796767039937,0.6541153166012739,0.8755550338952716,1,0.522492005857999
2017_1,KMI,0.2167952641900189,0.2167952641900189,0.6918147749639184,0.8694814323167015,1,0.5211648398259532
2017_1,DISH,0.2151965067903158,0.2151965067903158,0.6932352228733131,0.8711023570574824,1,0.5158859438650899
2017_1,CMCSA,0.30111980646225467,0.30111980646225467,0.6948603216052924,0.8712196053115506,1,0.5154819350315538
2017_1,RSG,0.20617268112090611,0.20617268112090611,0.6934590961387721,0.8711976343170227,1,0.5152936100148119
2017_1,SRE,0.21642871542987008,0.21642871542987008,0.6953722446255224,0.8708795561357867,1,0.5144071555207833
2017_1,NRG,0.19680002932390084,0.19802796767039937,0.711534857862468,0.8671738931119471,1,0.5130310819420809
2017_1,EIX,0.21413778567893996,0.21413778567893996,0.6949318856201117,0.8717405183776301,1,0.5127158099745874
2017_1,WM,0.21126037791177174,0.21126037791177174,0.6963563858488062,0.8713549399546504,1,0.5122391904989112
2017_1,HUM,0.27509484449168853,0.27509484449168853,0.6973338907149007,0.8715642491819878,1,0.5118636439241081
2017_1,T,0.36233344940710743,0.36233344940710743,0.6998653914947872,0.8714248210836337,1,0.5112356903929387
2017_1,TXT,0.19406924106079212,0.19802796767039937,0.7168339405748696,0.8708240856400964,1,0.5112158334849821
2017_1,BRK-B,0.5333284460165314,0.5333284460165314,0.7082992679981078,0.8693056225905266,1,0.5111415831452819
2017_1,ATO,0.21131169473819256,0.19802796767039937,0.6366056772629733,0.8710835605792742,1,0.5111186618834856
2017_1,WMT,0.41597786045488705,0.41597786045488705,0.7007153582701299,0.8715094887754743,1,0.5111125998221919
2017_1,INTU,0.20337957956857214,0.20337957956857214,0.6958244998152191,0.8719805285193744,1,0.5111087121590256
2017_1,BLL,0.19067866502941555,0.19802796767039937,0.7306022620685646,0.8717678359259595,1,0.5107526865059466
2017_1,D,0.22295328336051906,0.22295328336051906,0.6952932255644358,0.8725318501101996,1,0.510612306828986
2017_1,AMD,0.19254806370617453,0.19802796767039937,0.723293535838761,0.8713423254292751,1,0.5105105097476008
2017_1,SBUX,0.22606528233418252,0.22606528233418252,0.6980971993186449,0.8714888961893483,1,0.5105036127466774
2017_1,CRM,0.21096981470960177,0.21096981470960177,0.7009692173259877,0.8702886366308692,1,0.5104065641396233
2017_1,DXCM,0.1980334659018016,0.19802796767039937,0.696311245237815,0.8720697073659849,1,0.5103170221320678
2017_1,UNP,0.23253853343841066,0.23253853343841066,0.6985416453206885,0.8714439934914062,1,0.5102956972961548
