date,PENN,KHC,FANG,CHTR,NCLH,CCL,RCL
2017-03-15,1401475000.0,112871360000.0,9612728000.0,88828740000.0,11750061492.32,41765360000.0,20878650000.0
2017-03-16,1419855000.0,114014330000.0,9661296000.0,88375560000.0,11754632611.36,41889120000.0,20930442000.0
2017-03-17,1453858000.0,113043420000.0,9778046000.0,88946130000.0,11727205897.12,41961920000.0,21105240000.0
2017-03-20,1450182000.0,113510440000.0,9686514000.0,88722270000.0,11679209147.2,42049280000.0,21128978000.0
2017-03-21,1440073000.0,112945100000.0,9538008000.0,87540180000.0,11427797600.0,42071120000.0,20943390000.0
2017-03-22,1414341000.0,113424410000.0,9449278000.0,87687600000.0,11649496873.44,42435120000.0,21310250000.0
2017-03-23,1578842000.0,113080290000.0,9302640000.0,88348260000.0,11681494706.72,42602560000.0,21439730000.0
2017-03-24,1624792000.0,112674720000.0,9314782000.0,88820550000.0,11537504456.96,42660800000.0,21271406000.0
2017-03-27,1684527000.0,112146250000.0,9240996000.0,88217220000.0,11660924671.04,42857360000.0,21424624000.0
2017-03-28,1690041000.0,112342890000.0,9454882000.0,88473840000.0,11724920337.6,43141280000.0,21649056000.0
2017-03-29,1700150000.0,112441210000.0,9635144000.0,88981620000.0,11624355718.72,42922880000.0,21346936000.0
2017-03-30,1697393000.0,111961900000.0,9589378000.0,89576760000.0,11711206980.48,43163120000.0,21504470000.0
2017-03-31,1693717000.0,111605490000.0,9687448000.0,89358360000.0,11594643444.96,42886480000.0,21172138000.0
2017-04-03,1695555000.0,111912740000.0,9721072000.0,89617710000.0,11471223230.88,42748160000.0,21083660000.0
2017-04-04,1708421000.0,112109380000.0,9972318000.0,90504960000.0,11372944171.52,42689920000.0,21172138000.0
2017-04-05,1664309000.0,112355180000.0,9614596000.0,90633270000.0,11377515290.56,42806400000.0,21182928000.0
2017-04-06,1703826000.0,111777550000.0,9776178000.0,91946400000.0,11407227564.32,42995680000.0,21316724000.0
2017-04-07,1704745000.0,111470300000.0,9749092000.0,90267450000.0,11041538041.12,42668080000.0,21016762000.0
2017-04-10,1696474000.0,111703810000.0,9771508000.0,90464010000.0,11094105910.08,42544320000.0,21137610000.0
2017-04-11,1737829000.0,111630070000.0,9896664000.0,90717900000.0,10849551041.44,42063840000.0,20565740000.0
2017-04-12,1724044000.0,112981970000.0,9930288000.0,91337610000.0,10936402303.2,42027440000.0,20440576000.0
2017-04-13,1683608000.0,112453500000.0,9810736000.0,90090000000.0,10977542374.56,41838160000.0,20362888000.0
2017-04-17,1721287000.0,112551820000.0,9820076000.0,90188280000.0,11190099409.92,42500420000.0,20703852000.0
2017-04-18,1729558000.0,113682500000.0,9635144000.0,89593140000.0,11158101576.64,42434990000.0,20619690000.0
2017-04-19,1714854000.0,112883650000.0,9391370000.0,91075530000.0,11247238397.92,42660360000.0,20697378000.0
2017-04-20,1700150000.0,113117160000.0,9365218000.0,91616070000.0,11459795433.28,43045670000.0,20977918000.0
2017-04-21,1713016000.0,112576400000.0,9458618000.0,92405040000.0,11457509873.76,42863920000.0,21003814000.0
2017-04-24,1714854000.0,113756240000.0,9504384000.0,92918280000.0,11507792183.2,43343740000.0,21027552000.0
2017-04-25,1723125000.0,113424410000.0,9710798000.0,94048500000.0,11674638028.16,43641810000.0,21396570000.0
2017-04-26,1742424000.0,111740680000.0,9639814000.0,94294200000.0,12058612027.52,44019850000.0,21681426000.0
2017-04-27,1728639000.0,111630070000.0,9382030000.0,95222400000.0,12040327551.36,44332460000.0,21687900000.0
